------->U2000Name, NeName, CellId<------
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,120
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,130
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,140
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,90
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,100
WAW,14_WAR1131A_1_ZAKROCZYMSKA_1,110
WAW,14_WAR1011C_1_FRETA_10,124
WAW,14_WAR1011C_1_FRETA_10,134
WAW,14_WAR1011C_1_FRETA_10,144
WAW,14_WAR1011C_1_FRETA_10,94
WAW,14_WAR1011C_1_FRETA_10,104
WAW,14_WAR1011C_1_FRETA_10,114
WAW,14_WAR1011C_1_FRETA_10,96
WAW,14_WAR1011C_1_FRETA_10,106
WAW,14_WAR1011C_1_FRETA_10,116
WAW,14_WAR1006B_1_ANDERSA_26,70
WAW,14_WAR1006B_1_ANDERSA_26,40
WAW,14_WAR1006B_1_ANDERSA_26,60
WAW,14_WAR1006B_1_ANDERSA_26,80
WAW,14_WAR1006B_1_ANDERSA_26,30
WAW,14_WAR1006B_1_ANDERSA_26,50
WAW,14_WAR1132A_1_RYNEK_STAREGO_M,66
WAW,14_WAR8117A_1_METRO_DW_GDANSK,90
WAW,14_WAR8117A_1_METRO_DW_GDANSK,110
WAW,14_WAR1021D_1_MIODOWA_16,132
WAW,14_WAR1021D_1_MIODOWA_16,102
WAW,14_WAR1021D_1_MIODOWA_16,112
WAW,14_WAR1021D_1_MIODOWA_16,82
WAW,14_WAR1021D_1_MIODOWA_16,122
WAW,14_WAR1021D_1_MIODOWA_16,92
WAW,14_WAR1012A_1_ANIELEWICZA_2,104
WAW,14_WAR1012A_1_ANIELEWICZA_2,74
WAW,14_WAR1012A_1_ANIELEWICZA_2,124
WAW,14_WAR1012A_1_ANIELEWICZA_2,94
WAW,14_WAR1012A_1_ANIELEWICZA_2,114
WAW,14_WAR1012A_1_ANIELEWICZA_2,84
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,98
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,108
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,68
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,78
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,88
WAW,14_WAR1002H_1_KRAJEWSKIEGO_2,58
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,77
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,104
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,74
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,76
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,97
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,124
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,94
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,96
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,87
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,114
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,84
WAW,14_WAR1133A_1_SOLIDARNOSCI_64,86
WAW,14_WAR8115A_1_METRO_RAT_ARSEN,56
WAW,14_WAR8115A_1_METRO_RAT_ARSEN,76
WAW,14_WAR8115A_1_METRO_RAT_ARSEN,46
WAW,14_WAR8115A_1_METRO_RAT_ARSEN,66
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,76
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,46
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,96
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,66
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,86
WAW,14_WAR1039H_1_NOWY_ZJAZD_1,56
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,64
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,34
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,84
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,54
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,74
WAW,14_WAR1108B_1_AL_SOLIDARNOSCI,44
WAW,14_WAR1005F_1_KARMELICKA_30,74
WAW,14_WAR1005F_1_KARMELICKA_30,64
WAW,14_WAR1005F_1_KARMELICKA_30,84
WAW,14_WAR1005F_1_KARMELICKA_30,34
WAW,14_WAR1005F_1_KARMELICKA_30,54
WAW,14_WAR8117A_1_METRO_DW_GDANSK,100
WAW,14_WAR8117A_1_METRO_DW_GDANSK,120
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,128
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,138
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,148
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,98
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,108
WAW,14_WAR3098F_1_GEN_ZAJACZKA_9,118
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,110
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,80
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,100
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,70
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,120
WAW,14_WAR1029D_1_PILSUDSKIEGO_1,90
WAW,14_WAR1020F_1_MARSZALKOW_115,116
WAW,14_WAR1020F_1_MARSZALKOW_115,86
WAW,14_WAR1090C_1_PANIENSKA_15,69
WAW,14_WAR1090C_1_PANIENSKA_15,96
WAW,14_WAR1090C_1_PANIENSKA_15,66
WAW,14_WAR1090C_1_PANIENSKA_15,68
WAW,14_WAR1090C_1_PANIENSKA_15,49
WAW,14_WAR1090C_1_PANIENSKA_15,76
WAW,14_WAR1090C_1_PANIENSKA_15,46
WAW,14_WAR1090C_1_PANIENSKA_15,48
WAW,14_WAR1020F_1_MARSZALKOW_115,126
WAW,14_WAR1020F_1_MARSZALKOW_115,96
WAW,14_WAR1013A_1_JANA_PAWL_II_61,21
WAW,14_WAR1013A_1_JANA_PAWL_II_61,48
WAW,14_WAR1013A_1_JANA_PAWL_II_61,18
WAW,14_WAR1013A_1_JANA_PAWL_II_61,20
WAW,14_WAR1013A_1_JANA_PAWL_II_61,31
WAW,14_WAR1013A_1_JANA_PAWL_II_61,58
WAW,14_WAR1013A_1_JANA_PAWL_II_61,28
WAW,14_WAR1013A_1_JANA_PAWL_II_61,30
WAW,14_WAR1020F_1_MARSZALKOW_115,106
WAW,14_WAR1020F_1_MARSZALKOW_115,136
WAW,14_WAR1013A_1_JANA_PAWL_II_61,41
WAW,14_WAR1013A_1_JANA_PAWL_II_61,68
WAW,14_WAR1013A_1_JANA_PAWL_II_61,38
WAW,14_WAR1013A_1_JANA_PAWL_II_61,40
WAW,14_WAR1090C_1_PANIENSKA_15,59
WAW,14_WAR1090C_1_PANIENSKA_15,86
WAW,14_WAR1090C_1_PANIENSKA_15,56
WAW,14_WAR1090C_1_PANIENSKA_15,58
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,80
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,50
WAW,14_WAR2318A_1_DARWINA_1,87
WAW,14_WAR2318A_1_DARWINA_1,114
WAW,14_WAR2318A_1_DARWINA_1,84
WAW,14_WAR2318A_1_DARWINA_1,86
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,90
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,100
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,60
WAW,14_WAR1019B_1_SOLIDARNOSCI_82,70
WAW,14_WAR2318A_1_DARWINA_1,77
WAW,14_WAR2318A_1_DARWINA_1,104
WAW,14_WAR2318A_1_DARWINA_1,74
WAW,14_WAR2318A_1_DARWINA_1,76
WAW,14_WAR2318A_1_DARWINA_1,97
WAW,14_WAR2318A_1_DARWINA_1,124
WAW,14_WAR2318A_1_DARWINA_1,94
WAW,14_WAR2318A_1_DARWINA_1,96
WAW,14_WAR8002B_1_ALEJA_JANA_PAWL,120
WAW,14_WAR1128C_1_NOWOLIPKI_18,78
WAW,14_WAR1128C_1_NOWOLIPKI_18,88
WAW,14_WAR1128C_1_NOWOLIPKI_18,98
WAW,14_WAR1128C_1_NOWOLIPKI_18,108
WAW,14_WAR1128C_1_NOWOLIPKI_18,38
WAW,14_WAR1128C_1_NOWOLIPKI_18,48
WAW,14_WAR1128C_1_NOWOLIPKI_18,58
WAW,14_WAR1128C_1_NOWOLIPKI_18,68
WAW,14_WAR1127A_1_SMOCZA_26,9
WAW,14_WAR1127A_1_SMOCZA_26,19
WAW,14_WAR1127A_1_SMOCZA_26,46
WAW,14_WAR1127A_1_SMOCZA_26,56
WAW,14_WAR1127A_1_SMOCZA_26,6
WAW,14_WAR1127A_1_SMOCZA_26,16
WAW,14_WAR1127A_1_SMOCZA_26,8
WAW,14_WAR1127A_1_SMOCZA_26,18
WAW,14_WAR1127A_1_SMOCZA_26,66
WAW,14_WAR1127A_1_SMOCZA_26,26
WAW,14_WAR1127A_1_SMOCZA_26,39
WAW,14_WAR1127A_1_SMOCZA_26,76
WAW,14_WAR1127A_1_SMOCZA_26,36
WAW,14_WAR1127A_1_SMOCZA_26,38
WAW,14_WAR1030F_1_JANA_PAWLA_2_34,72
WAW,14_WAR1030F_1_JANA_PAWLA_2_34,42
WAW,14_WAR1030F_1_JANA_PAWLA_2_34,82
WAW,14_WAR1030F_1_JANA_PAWLA_2_34,92
WAW,14_WAR1030F_1_JANA_PAWLA_2_34,62
WAW,14_WAR1003A_1_JANA_PAWLA_82,58
WAW,14_WAR1003A_1_JANA_PAWLA_82,28
WAW,14_WAR1003A_1_JANA_PAWLA_82,31
WAW,14_WAR1003A_1_JANA_PAWLA_82,41
WAW,14_WAR1003A_1_JANA_PAWLA_82,20
WAW,14_WAR1003A_1_JANA_PAWLA_82,30
WAW,14_WAR1003A_1_JANA_PAWLA_82,40
WAW,14_WAR1003A_1_JANA_PAWLA_82,48
WAW,14_WAR1003A_1_JANA_PAWLA_82,18
WAW,14_WAR1003A_1_JANA_PAWLA_82,68
WAW,14_WAR1003A_1_JANA_PAWLA_82,38
WAW,14_WAR8114A_1_METRO_SWIETOKRZ,2
WAW,14_WAR8114A_1_METRO_SWIETOKRZ,12
WAW,14_WAR1008B_1_PL_HALLERA_10,36
WAW,14_WAR1008B_1_PL_HALLERA_10,56
WAW,14_WAR1008B_1_PL_HALLERA_10,6
WAW,14_WAR1008B_1_PL_HALLERA_10,26
WAW,14_WAR1008B_1_PL_HALLERA_10,46
WAW,14_WAR1008B_1_PL_HALLERA_10,16
WAW,14_WAR1037J_1_MAZOWIECKA_9,32
WAW,14_WAR1037J_1_MAZOWIECKA_9,42
WAW,14_WAR1037J_1_MAZOWIECKA_9,52
WAW,14_WAR1037J_1_MAZOWIECKA_9,2
WAW,14_WAR1037J_1_MAZOWIECKA_9,12
WAW,14_WAR1037J_1_MAZOWIECKA_9,22
WAW,14_WAR8214A_1_METRO_STADION,30
WAW,14_WAR2185B_1_MLOTA_5,49
WAW,14_WAR2185B_1_MLOTA_5,76
WAW,14_WAR2185B_1_MLOTA_5,46
WAW,14_WAR2185B_1_MLOTA_5,48
WAW,14_WAR2185B_1_MLOTA_5,39
WAW,14_WAR2185B_1_MLOTA_5,66
WAW,14_WAR2185B_1_MLOTA_5,36
WAW,14_WAR2185B_1_MLOTA_5,38
WAW,14_WAR2185B_1_MLOTA_5,29
WAW,14_WAR2185B_1_MLOTA_5,56
WAW,14_WAR2185B_1_MLOTA_5,26
WAW,14_WAR2185B_1_MLOTA_5,28
WAW,14_WAR8118A_1_METRO_PL_WILSON,34
WAW,14_WAR9004C_1_ZIELNA,84
WAW,14_WAR9004C_1_ZIELNA,74
WAW,14_WAR1038E_1_KOPERNIKA_38_40,58
WAW,14_WAR1038E_1_KOPERNIKA_38_40,68
WAW,14_WAR1038E_1_KOPERNIKA_38_40,28
WAW,14_WAR8028A_1_TWARDA_2_4,34
WAW,14_WAR8211A_1_METRO_SWIETOKRZ,86
WAW,14_WAR1010B_1_TARGOWA_72,100
WAW,14_WAR1010B_1_TARGOWA_72,120
WAW,14_WAR1010B_1_TARGOWA_72,50
WAW,14_WAR1010B_1_TARGOWA_72,70
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,150
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,110
WAW,14_WAR1010B_1_TARGOWA_72,110
WAW,14_WAR1010B_1_TARGOWA_72,60
WAW,14_WAR8028A_1_TWARDA_2_4,24
WAW,14_WAR3083E_1_WYSPIANSKIEGO_2,37
WAW,14_WAR3083E_1_WYSPIANSKIEGO_2,47
WAW,14_WAR8211A_1_METRO_SWIETOKRZ,76
WAW,14_WAR3083E_1_WYSPIANSKIEGO_2,27
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,46
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,56
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,66
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,130
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,90
WAW,14_WAR1513B_1_PIASKOWA_9,116
WAW,14_WAR1513B_1_PIASKOWA_9,86
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,120
WAW,14_WAR8028A_1_TWARDA_2_4,14
WAW,14_WAR1018C_1_ZELAZNA_91,101
